recipe_id,ingredients,
0,250g macaroni,
0,"1 head cauliflower, broken into pieces",
0,25g butter,
0,2 tbsp plain flour,
0,2 tsp English mustard powder,
0,450ml milk,
0,"100g cheddar, grated",
1,"1 tbsp olive oil, plus a drizzle to serve (optional)",
1,"2 x 400g cans cannellini beans, rinsed and drained",
1,2 tbsp pesto,
2,"2kg spare ribs, cut into individual ribs",
2,2 tbsp barbecue spice mix,
2,150g tomato ketchup,
2,140g chilli ketchup,
2,3 tbsp soy sauce,
2,140g runny honey,
2,3 tbsp teriyaki sauce,
2,4 tbsp bourbon whiskey,
3,"250g block stoned date, finely chopped",
3,"125g butter, softened, plus extra for greasing",
3,85g light muscovado sugar,
3,140g self-raising flour,
3,1 tsp baking powder,
3,2 large eggs,
3,50g raisin,
3,50g chopped candied peel,
3,"50g dark glacé cherry, halved",
3,"50g pecan, chopped",
3,"50g stem ginger, chopped",
3,100g caster sugar,
3,100ml brandy,
3,butterscotch sauce (see related recipes),
3,"1 holly sprig, to garnish",
4,50ml cherry brandy liqueur,
4,50ml kirsch,
4,50ml amaretto,
4,100ml vodka,
4,750ml bottle sparkling red grape juice (we used Shloer),
4,12 maraschino cherries,
5,"1kg Brussels sprouts, trimmed",
5,4 tbsp goose fat,
5,"a few sage sprigs, shredded",
5,"200g pack whole, cooked and peeled chestnuts",
6,5 tbsp cider vinegar,
6,2 tbsp extra-virgin olive oil or rapeseed oil,
6,little drizzle of honey,
6,"3-4 apple, cored and thinly sliced",
6,"1 small cauliflower, chopped",
6,handful of alfalfa sprouts (optional),
6,"200g stilton or vegetarian crumbly blue cheese, such as Dorset blue Vinney, crumbled",
6,"small bunch mint, chopped",
6,"50g sunflower seeds, toasted (walnuts or cobnuts also work well)",
7,50g unsalted butter,
7,"2 shallots, finely chopped",
7,"400g pack duck or chicken liver, cleaned",
7,1 heaped tsp thyme leaves,
7,2 tbsp gin,
7,170ml pot double cream,
7,100g unsalted butter,
7,"16 juniper berries, chopped",
7,2 tsp thyme leaves,
7,"thinly sliced seed bread or brioche, toasted",
7,a few gherkins or cornichons,
8,100g basmati rice,
8,2 large tilapia fillets,
8,2 tsp butter,
8,"150g pot fat-free yogurt, to serve",
8,"2 small naan bread, to serve",
8,"handful coriander, roughly chopped",
8,"½ green chilli, deseeded",
8,25g desiccated coconut,
8,"1 lemon ½ juiced, ½ cut into wedges",
8,1 tsp chopped ginger,
8,½ tsp ground cumin,
9,300g soured cream or crème fraîche,
9,100g mayonnaise,
9,"150g blue cheese, crumbled (Danish or Roquefort)",
9,1 tbsp white wine vinegar,
9,1 tsp Worcestershire sauce,
9,"1 head celery, cut into batons",
10,"500ml chicken stock, heated",
10,340g jar smooth peanut butter,
10,"2 onions, halved and thinly sliced",
10,3 tbsp sunflower oil,
10,3 tbsp finely chopped ginger,
10,½-1 tsp cayenne pepper (optional),
10,3 tsp ground coriander,
10,3 tsp ground cumin,
10,"1-2 scotch bonnet chillies, deseeded and chopped",
10,2 bay leaves,
10,400g can chopped tomato,
10,"2 x 800g pack chicken thighs and drumsticks, skinned",
10,"3 sweet potatoes, cut into chunks",
10,"2 red peppers, deseeded and cut into chunks",
10,"good handful coriander, chopped, a little reserved for sprinkling",
10,"rice and lime wedges, to serve (optional)",
11,"2kg floury potato, such as Maris Piper, peeled and halved",
11,"2 x 400g tins haricot beans, drained and rinsed",
11,300ml single cream,
11,100g unsalted butter,
11,3 tbsp truffle oil,
11,freshly grated nutmeg,
12,2 ducks,
12,140g caster sugar,
12,6 star anise seeds,
12,"large piece ginger, sliced",
12,"small bunch spring onions, roughly chopped",
12,2 tbsp malt syrup or maltose (available in most Chinese supermarkets),
12,3 tbsp red wine vinegar,
13,2 tsp vegetable oil,
13,"2 eggs, beaten",
13,1-2 tbsp red Thai curry paste,
13,800g leftover cooked rice (275g uncooked),
13,"300g frozen peeled prawn, defrosted",
13,"175g frozen sliced green bean, defrosted",
13,"juice 1 lime, plus extra wedges to serve",
13,"1 tbsp Thai fish sauce, plus extra to serve",
13,"shredded cucumber, sliced red chilli and coriander leaves, to garnish (optional)",
14,20 baby plum tomatoes,
14,"250g pack chestnut mushroom, halved",
14,"8 rashers smoked streaky bacon, wrapped around 2 fingers to form coils",
14,4 good-quality pork sausages,
14,2½ tbsp olive oil,
14,2 tsp sherry vinegar,
14,2 tsp Dijon mustard,
14,4 eggs,
14,100g bag salad leaf,
14,"8 thin diagonal slices baguette, toasted",
15,1 large cauliflower,
15,2 tbsp olive oil,
15,"½ tsp each ground cinnamon, cumin and coriander",
15,"2 tbsp harissa paste, plus extra drizzle",
15,1l hot vegetable or chicken stock,
